9.878214394124619213e-01,8.731295900749833907e-04,5.263184721313161063e+00
9.878214389100981041e-01,8.731441155360567018e-04,5.263140744484704925e+00
9.878214373831177841e-01,8.731869835105183315e-04,5.263010958561359587e+00
9.878214341753926986e-01,8.732768244031241956e-04,5.262738988564091613e+00
9.878214239980228628e-01,8.735625061391670727e-04,5.261874443292234638e+00
9.878213839122949036e-01,8.746872930360282457e-04,5.258474666619910920e+00
9.878213437519125506e-01,8.758134864238230127e-04,5.255077195475375440e+00
9.878213035167510148e-01,8.769410878468004772e-04,5.251682028690916049e+00
9.878212632066823984e-01,8.780700989173347189e-04,5.248289164897547820e+00
9.878212228215824675e-01,8.792005211736040682e-04,5.244898602954004119e+00
9.878211823613242126e-01,8.803323562080956266e-04,5.241510341559642683e+00
9.878211418257790699e-01,8.814656056229573872e-04,5.238124379389453189e+00
9.878211012148214731e-01,8.826002709791622722e-04,5.234740715245873588e+00
9.878210605283248569e-01,8.837363538529692617e-04,5.231359347889950051e+00
9.878210197661614345e-01,8.848738558373600701e-04,5.227980276036688245e+00
9.878209789282029751e-01,8.860127785278337125e-04,5.224603498398082913e+00
9.878209380143226914e-01,8.871531234930225655e-04,5.221229013770139815e+00
9.878208970243942399e-01,8.882948923094689114e-04,5.217856820929259065e+00
9.878208559582852821e-01,8.894380866143558693e-04,5.214486918476779032e+00
9.878208148158731383e-01,8.905827079314726719e-04,5.211119305353243192e+00
9.878207735970261361e-01,8.917287578954089184e-04,5.207753980176156539e+00
9.878207323016164887e-01,8.928762380841977772e-04,5.204390941734064135e+00
9.878206909295166316e-01,8.940251500875904742e-04,5.201030188784967478e+00
9.878206494805973348e-01,8.951754954916285286e-04,5.197671720101721959e+00
9.878206079547297014e-01,8.963272758978741393e-04,5.194315534416643843e+00
9.878205663517839463e-01,8.974804929127570309e-04,5.190961630449819175e+00
9.878205148836114446e-01,8.989062016074210676e-04,5.186824153718169406e+00
9.878204632975196020e-01,9.003341053826129309e-04,5.182690150382669003e+00
9.878204115792033058e-01,9.017644017334278768e-04,5.178559056028560370e+00
9.878203597591727059e-01,9.031966681108993854e-04,5.174432099294034693e+00
9.878202805563531808e-01,9.053838068433215942e-04,5.168148925531690807e+00
9.878201823794920955e-01,9.080912517244178707e-04,5.160402453895899022e+00
